,genres,app_name,title,price,item_id,developer,release_year,user_id,posted,recommend,sentiment_analysis
0,"['Action', 'Indie', 'Racing']",Carmageddon Max Pack,Carmageddon Max Pack,9.99,282010,Stainless Games Ltd,1997,InstigatorAU,Posted January 12.,True,1
1,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,EizanAratoFujimaki,"Posted October 28, 2015.",True,2
2,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,GamerFag,"Posted January 27, 2011.",True,0
3,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198020928326,"Posted July 1, 2014.",True,2
4,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,Bluegills,"Posted December 6, 2013.",True,2
5,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198071955492,"Posted August 7, 2013.",True,2
6,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,digfernandes,"Posted July 28, 2014.",True,0
7,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561197970812298,"Posted September 8, 2013.",True,2
8,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,meeeedie,"Posted August 8, 2015.",True,1
9,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,phrostb,"Posted January 19, 2014.",True,1
10,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,KewlKatzz,"Posted April 3, 2015.",True,0
11,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,The-Dunktown-Express,Posted May 31.,True,2
12,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,TheRealMeatyMate,"Posted December 8, 2014.",True,2
13,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,Auditore70,"Posted January 30, 2014.",True,2
14,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561197994404698,Posted February 27.,True,1
15,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,Engurneer,Posted March 28.,True,1
16,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,voaDs,"Posted July 7, 2015.",True,0
17,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198060319088,"Posted May 31, 2014.",True,2
18,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198085571748,"Posted July 28, 2015.",True,2
19,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198049424642,"Posted July 16, 2014.",True,2
20,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,LayzeeBoi,"Posted June 3, 2015.",True,2
21,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,midniteviii,"Posted January 22, 2014.",True,2
22,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,i_dont_give_a_jacks_ass,"Posted March 21, 2014.",True,1
23,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198088947777,"Posted November 3, 2013.",True,2
24,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,pandasmokingbamboo,"Posted January 4, 2015.",True,2
25,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,patpat14,"Posted January 13, 2014.",True,0
26,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,ripvision,"Posted September 22, 2012.",True,2
27,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,DXLfore,"Posted October 26, 2014.",True,0
28,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198020928326,"Posted July 1, 2014.",True,2
29,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,matrix12384,"Posted January 1, 2014.",True,2
30,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,GAHK,"Posted June 24, 2015.",True,2
31,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,ceffly,Posted July 13.,True,2
32,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198056482812,"Posted November 12, 2012.",True,2
33,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198054970463,"Posted April 25, 2014.",True,1
34,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,coolman1342,"Posted June 18, 2011.",True,2
35,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198069139035,Posted February 22.,False,2
36,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,dragonlore23,"Posted December 5, 2014.",True,2
37,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,DudeJazza,"Posted June 23, 2014.",True,2
38,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198054544978,"Posted August 5, 2015.",True,0
39,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198067182014,"Posted June 22, 2014.",True,0
40,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198026641932,"Posted June 21, 2014.",True,2
41,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198096849086,"Posted December 13, 2015.",True,0
42,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,MartinMayonnaise,"Posted December 26, 2013.",True,2
43,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,h00py,"Posted September 30, 2014.",True,2
44,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,brunolopez67,"Posted December 17, 2015.",True,2
45,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,MarsupialesLocos,"Posted April 24, 2015.",True,1
46,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,cat1,"Posted January 11, 2015.",True,2
47,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,RAINZFOXX,"Posted January 6, 2014.",True,2
48,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,lellol,"Posted July 13, 2015.",True,2
49,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198059451329,"Posted June 25, 2014.",True,2
50,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,512356,"Posted August 4, 2012.",True,1
51,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,epic_doom,"Posted November 25, 2013.",True,2
52,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198034940671,"Posted February 8, 2014.",True,1
53,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198037529631,"Posted December 21, 2013.",True,2
54,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,Spasticmario,"Posted December 31, 2013.",True,2
55,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,76561198064985698,"Posted November 27, 2015.",True,2
56,['Action'],Half-Life,Half-Life,9.99,70,Valve,1998,dominozpizza-r-us,"Posted February 20, 2014.",True,2
