,genres,app_name,price_x,item_id,developer,user_id,playtime_forever,recommend,sentiment_analysis
0,Action,Half-Life,9.99,70,Valve,DingarooEF,108.0,True,2
1,Action,Half-Life,9.99,70,Valve,DingarooEF,108.0,True,0
2,Action,Half-Life,9.99,70,Valve,DingarooEF,108.0,True,1
3,Action,Half-Life,9.99,70,Valve,76561197986552406,32.0,True,2
4,Action,Half-Life,9.99,70,Valve,76561197986552406,32.0,True,0
5,Action,Half-Life,9.99,70,Valve,76561197986552406,32.0,True,1
6,Action,Half-Life,9.99,70,Valve,76561198103927245,10.0,True,2
7,Action,Half-Life,9.99,70,Valve,76561198103927245,10.0,True,0
8,Action,Half-Life,9.99,70,Valve,76561198103927245,10.0,True,1
9,Action,Half-Life,9.99,70,Valve,76561198284930487,227.0,True,2
10,Action,Half-Life,9.99,70,Valve,76561198284930487,227.0,True,0
11,Action,Half-Life,9.99,70,Valve,76561198284930487,227.0,True,1
12,Action,Half-Life,9.99,70,Valve,relegencez,36.0,True,2
13,Action,Half-Life,9.99,70,Valve,relegencez,36.0,True,0
14,Action,Half-Life,9.99,70,Valve,relegencez,36.0,True,1
15,Action,Half-Life,9.99,70,Valve,76561198065102350,1.0,True,2
16,Action,Half-Life,9.99,70,Valve,76561198065102350,1.0,True,0
17,Action,Half-Life,9.99,70,Valve,76561198065102350,1.0,True,1
18,Action,Half-Life,9.99,70,Valve,MargeShrimpson,633.0,True,2
19,Action,Half-Life,9.99,70,Valve,MargeShrimpson,633.0,True,0
20,Action,Half-Life,9.99,70,Valve,MargeShrimpson,633.0,True,1
21,Action,Half-Life,9.99,70,Valve,76561198002257948,27.0,True,2
22,Action,Half-Life,9.99,70,Valve,76561198002257948,27.0,True,0
23,Action,Half-Life,9.99,70,Valve,76561198002257948,27.0,True,1
24,Action,Half-Life,9.99,70,Valve,ApexAgera,1489.0,True,2
25,Action,Half-Life,9.99,70,Valve,ApexAgera,1489.0,True,0
26,Action,Half-Life,9.99,70,Valve,ApexAgera,1489.0,True,1
27,Action,Half-Life,9.99,70,Valve,76561198026289602,3.0,True,2
28,Action,Half-Life,9.99,70,Valve,76561198026289602,3.0,True,0
29,Action,Half-Life,9.99,70,Valve,76561198026289602,3.0,True,1
30,Action,Half-Life,9.99,70,Valve,76561198077013156,16.0,True,2
31,Action,Half-Life,9.99,70,Valve,76561198077013156,16.0,True,0
32,Action,Half-Life,9.99,70,Valve,76561198077013156,16.0,True,1
33,Action,Half-Life,9.99,70,Valve,76561198093191957,4.0,True,2
34,Action,Half-Life,9.99,70,Valve,76561198093191957,4.0,True,0
35,Action,Half-Life,9.99,70,Valve,76561198093191957,4.0,True,1
36,Action,Half-Life,9.99,70,Valve,lightjuddzy,33.0,True,2
37,Action,Half-Life,9.99,70,Valve,lightjuddzy,33.0,True,0
38,Action,Half-Life,9.99,70,Valve,lightjuddzy,33.0,True,1
39,Action,Half-Life,9.99,70,Valve,branster5,21.0,True,2
40,Action,Half-Life,9.99,70,Valve,branster5,21.0,True,0
41,Action,Half-Life,9.99,70,Valve,branster5,21.0,True,1
42,Action,Half-Life,9.99,70,Valve,monsieurlamb,890.0,True,2
43,Action,Half-Life,9.99,70,Valve,monsieurlamb,890.0,True,0
44,Action,Half-Life,9.99,70,Valve,monsieurlamb,890.0,True,1
45,Action,Half-Life,9.99,70,Valve,76561198092674981,8.0,True,2
46,Action,Half-Life,9.99,70,Valve,76561198092674981,8.0,True,0
47,Action,Half-Life,9.99,70,Valve,76561198092674981,8.0,True,1
48,Action,Half-Life,9.99,70,Valve,76561198093282552,451.0,True,2
49,Action,Half-Life,9.99,70,Valve,76561198093282552,451.0,True,0
50,Action,Half-Life,9.99,70,Valve,76561198093282552,451.0,True,1
51,Action,Half-Life,9.99,70,Valve,creepeykiller,622.0,True,2
52,Action,Half-Life,9.99,70,Valve,creepeykiller,622.0,True,0
53,Action,Half-Life,9.99,70,Valve,creepeykiller,622.0,True,1
54,Action,Half-Life,9.99,70,Valve,76561198064486084,99.0,True,2
55,Action,Half-Life,9.99,70,Valve,76561198064486084,99.0,True,0
56,Action,Half-Life,9.99,70,Valve,76561198064486084,99.0,True,1
57,Action,Half-Life,9.99,70,Valve,vengerfire,1841.0,True,2
58,Action,Half-Life,9.99,70,Valve,vengerfire,1841.0,True,0
59,Action,Half-Life,9.99,70,Valve,vengerfire,1841.0,True,1
60,Action,Half-Life,9.99,70,Valve,76561198063461380,4.0,True,2
61,Action,Half-Life,9.99,70,Valve,76561198063461380,4.0,True,0
62,Action,Half-Life,9.99,70,Valve,76561198063461380,4.0,True,1
63,Action,Half-Life,9.99,70,Valve,Ctoer,168.0,True,2
64,Action,Half-Life,9.99,70,Valve,Ctoer,168.0,True,0
65,Action,Half-Life,9.99,70,Valve,Ctoer,168.0,True,1
66,Action,Half-Life,9.99,70,Valve,76561198080855979,392.0,True,2
67,Action,Half-Life,9.99,70,Valve,76561198080855979,392.0,True,0
68,Action,Half-Life,9.99,70,Valve,76561198080855979,392.0,True,1
69,Action,Half-Life,9.99,70,Valve,76561198069116261,1395.0,True,2
70,Action,Half-Life,9.99,70,Valve,76561198069116261,1395.0,True,0
71,Action,Half-Life,9.99,70,Valve,76561198069116261,1395.0,True,1
72,Action,Half-Life,9.99,70,Valve,Arkvoir,33.0,True,2
73,Action,Half-Life,9.99,70,Valve,Arkvoir,33.0,True,0
74,Action,Half-Life,9.99,70,Valve,Arkvoir,33.0,True,1
75,Action,Half-Life,9.99,70,Valve,76561198120435703,33.0,True,2
